Request Index,Request Time (Seconds),vendor1 API Available,vendor2 API Available,vendor3 API Available,vendor1 Is Down,vendor2 Is Down,vendor3 Is Down,vendor1 CTM Success Percent,vendor2 CTM Success Percent,vendor3 CTM Success Percent,vendor1 FTM Failure Percent,vendor2 FTM Failure Percent,vendor3 FTM Failure Percent,vendor1 Traffic Ratio,vendor2 Traffic Ratio,vendor3 Traffic Ratio,Vendors tried
243,351,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
244,352,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
245,352,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
246,355,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
247,356,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
248,357,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
249,359,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
250,363,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
251,368,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
252,369,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
253,374,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
254,376,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
255,380,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
256,389,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
257,390,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
258,394,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
259,395,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
260,396,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
261,398,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
262,398,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
263,402,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
264,403,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
265,414,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
266,421,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
267,434,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
268,455,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
269,479,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
270,480,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
271,482,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
272,482,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
273,483,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
274,483,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
275,483,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
276,484,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
277,484,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
278,487,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
279,487,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
280,488,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
281,488,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
282,489,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
283,489,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
284,490,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
285,491,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
286,492,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
287,492,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
288,492,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
